Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Boschmansweg 15,Schoorl,1850000.0,1820.0,185.0,1971.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4,2 badkamers en 1 apart toilet,2 woonlagen,D,"Aan rustige weg, beschutte ligging, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Achtertuin en voortuin,32.05
Hanespoordoorn 36,Rotterdam,369000.0,129.0,120.0,1973.0,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Plat dak bedekt met bitumineuze dakbedekking,4,1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin,257.3
Golfpark 152,Lelystad,649500.0,630.0,161.0,1992.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,"Aan rustige weg, beschutte ligging, in bosrijke omgeving, in woonwijk en vrij uitzicht",Tuin rondom,3.1
Gemeeneland 2,Vinkeveen,499000.0,137.0,115.0,1990.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,47.65
Pentatlon 4,Assendelft,625000.0,205.0,170.0,2009.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,94.55
Kade 14,Piershil,485000.0,601.0,159.0,1954.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,6,2 badkamers en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in centrum,Achtertuin en voortuin,15.15
Exoolaan 12,Almelo,435000.0,731.0,139.0,1965.0,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,9,2 badkamers en 1 apart toilet,2 woonlagen,E,"Aan bosrand, aan rustige weg en in woonwijk",Tuin rondom,14.5
Madeliefstraat 10,Bergeijk,345000.0,286.0,148.0,1961.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,4,1 badkamer en 1 apart toilet,2 woonlagen,D,In woonwijk,Achtertuin,10.55
Schoonenburgsingel 31,Hoofddorp,750000.0,283.0,157.0,1989.0,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen en een vliering,B,In woonwijk,Achtertuin en voortuin,
Burgemeester van Bovenstraat 15,Stevensweert,325000.0,284.0,175.0,1994.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,9,1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,13.25
